SUCCESS 100 out of 100 items returned
Mission|Sensor|Product|COLLECTION|Status|Start|Stop|Orbit|Track|Frame|Swath|Station|PASSTIME|Pass|SCENE_CENTER|FOOTPRINT|ACQUISITIONDESCRIPTOR|THUMBNAIL_URL|PRODUCT_TYPE|CLOUD_COVER_PERCENTAGE|SNOW_COVER_PERCENTAGE|IMAGE_QUALITY_DEGRATATION
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-28 01:17:27.90|2011-08-28 01:18:14.41|49643|60||I6||2417754/2464264|D|34.46 131.51|35.89 131.4 35.78 132.21 33.02 131.61 33.14 130.83 35.89 131.4|ENVISAT-1-11082801172790-4651.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110828T011727900-20110828T011814410_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-28 02:56:37.88|2011-08-28 02:57:34.74|49644|61||I6||2353771/2410631|D|37.94 107.2|39.68 107.14 39.56 108 36.42 107.3 36.2 107.25 36.32 106.43 36.54 106.48 39.68 107.14|ENVISAT-1-11082802563788-5686.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110828T025637880-20110828T025734740_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-28 03:45:13.88|2011-08-28 03:47:30.35|49644|61||I6||5269761/5406231|A|-38.65 -71.53|-42.45 -69.34 -42.68 -70.2 -39.57 -71.6 -36.1 -73.01 -34.79 -73.5 -34.59 -72.72 -35.89 -72.21 -39.35 -70.77 -42.45 -69.34|ENVISAT-1-11082803451388-21647.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110828T034513880-20110828T034730350_A_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-28 04:36:02.86|2011-08-28 04:41:37.02|49645|62||I6||2304717/2638877|D|32.63 81.01|42.58 82.71 42.47 83.61 39.38 82.9 35.83 82.11 32.27 81.34 28.71 80.59 25.15 79.85 22.65 79.33 22.78 78.62 25.27 79.12 28.83 79.84 32.39 80.56 35.94 81.3 39.5 82.05 42.58 82.71|ENVISAT-1-11082804360286-53416.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110828T043602860-20110828T044137020_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-28 08:03:33.94|2011-08-28 08:05:17.88|49647|64||I3||2727790/2831730|D|13.98 28.99|17.15 29.28 17 30.02 13.48 29.27 10.81 28.69 10.96 27.97 13.63 28.54 17.15 29.28|ENVISAT-1-11082808033394-14394.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110828T080333940-20110828T080517880_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-28 09:03:03.16|2011-08-28 09:04:40.32|49648|65||I6||283057/380217|A|20.81 -162.26|17.99 -161.33 17.87 -162.02 21.25 -162.71 23.64 -163.21 23.76 -162.49 21.38 -162.01 17.99 -161.33|ENVISAT-1-11082809030316-13716.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110828T090303160-20110828T090440320_A_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-28 09:34:14.76|2011-08-28 09:36:43.87|49648|65||I6||2154666/2303776|D|46.98 9.04|51.44 9.64 51.32 10.69 48.25 9.87 44.7 8.98 42.52 8.45 42.63 7.56 44.82 8.05 48.36 8.88 51.44 9.64|ENVISAT-1-11082809341476-22911.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110828T093414760-20110828T093643870_D_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-28 14:00:14.79|2011-08-28 14:02:57.40|49651|68||I4||72926/235536|A|10.04 123.6|5.28 125.01 5.12 124.25 8.52 123.53 12.09 122.77 14.8 122.19 14.96 122.98 12.25 123.55 8.68 124.3 5.28 125.01|ENVISAT-1-11082814001479-24261.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110828T140014790-20110828T140257400_A_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-28 14:03:09.96|2011-08-28 14:04:09.64|49651|68||I3||248096/307776|A|17.26 121.34|15.56 122.09 15.41 121.36 18.51 120.69 18.96 120.59 19.11 121.34 18.66 121.44 15.56 122.09|ENVISAT-1-11082814030996-5968.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110828T140309960-20110828T140409640_A_T-XI0B.jpg||||
ENVISAT-1|ASAR/IM|ASA_IM__0P|ESA.EECF.ENVISAT_ASA_IMx_xS|Archived|2011-08-28 16:18:08.70|2011-08-28 16:19:10.27|49652|69||I6||2332771/2394341|D|39.05 -93.02|40.92 -93.05 40.81 -92.18 37.61 -92.9 37.16 -93 37.28 -93.83 37.72 -93.73 40.92 -93.05|ENVISAT-1-11082816180870-10157.ASA_IM__0P|http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20110828T161808700-20110828T161910270_D_T-XI0B.jpg||||
